ticker,name,sector,added,removed
AAPL,Apple Inc.,Information Technology,2015-01-01,
MSFT,Microsoft Corporation,Information Technology,2015-01-01,
AMZN,Amazon.com Inc.,Consumer Discretionary,2015-01-01,
GOOGL,Alphabet Inc. Class A,Communication Services,2015-01-01,
META,Meta Platforms Inc.,Communication Services,2015-01-01,
NVDA,NVIDIA Corporation,Information Technology,2015-01-01,
TSLA,Tesla Inc.,Consumer Discretionary,2020-12-21,
BRK-B,Berkshire Hathaway Inc. Class B,Financials,2015-01-01,
JPM,JPMorgan Chase & Co.,Financials,2015-01-01,
V,Visa Inc.,Financials,2015-01-01,
UNH,UnitedHealth Group Inc.,Health Care,2015-01-01,
XOM,Exxon Mobil Corporation,Energy,2015-01-01,
JNJ,Johnson & Johnson,Health Care,2015-01-01,
WMT,Walmart Inc.,Consumer Staples,2015-01-01,
PG,Procter & Gamble Company,Consumer Staples,2015-01-01,
MA,Mastercard Inc.,Financials,2015-01-01,
HD,Home Depot Inc.,Consumer Discretionary,2015-01-01,
CVX,Chevron Corporation,Energy,2015-01-01,
ABBV,AbbVie Inc.,Health Care,2015-01-01,
KO,Coca-Cola Company,Consumer Staples,2015-01-01,
PEP,PepsiCo Inc.,Consumer Staples,2015-01-01,
MRK,Merck & Co. Inc.,Health Care,2015-01-01,
COST,Costco Wholesale Corporation,Consumer Staples,2015-01-01,
AVGO,Broadcom Inc.,Information Technology,2015-01-01,
LLY,Eli Lilly and Company,Health Care,2015-01-01,
TMO,Thermo Fisher Scientific Inc.,Health Care,2015-01-01,
MCD,McDonald's Corporation,Consumer Discretionary,2015-01-01,
CSCO,Cisco Systems Inc.,Information Technology,2015-01-01,
ACN,Accenture plc,Information Technology,2015-01-01,
ADBE,Adobe Inc.,Information Technology,2015-01-01,
ABT,Abbott Laboratories,Health Care,2015-01-01,
CRM,Salesforce Inc.,Information Technology,2015-01-01,
NFLX,Netflix Inc.,Communication Services,2015-01-01,
AMD,Advanced Micro Devices Inc.,Information Technology,2015-01-01,
INTC,Intel Corporation,Information Technology,2015-01-01,
VZ,Verizon Communications Inc.,Communication Services,2015-01-01,
T,AT&T Inc.,Communication Services,2015-01-01,
NKE,NIKE Inc.,Consumer Discretionary,2015-01-01,
PFE,Pfizer Inc.,Health Care,2015-01-01,
ORCL,Oracle Corporation,Information Technology,2015-01-01,
TWTR,Twitter Inc.,Communication Services,2015-01-01,2022-11-08
FRC,First Republic Bank,Financials,2015-01-01,2023-05-01
SBNY,Signature Bank,Financials,2015-01-01,2023-03-15
